fb_terms	fb_docs	original_query_weight	MAP
5	5	0.3	0.206536
5	5	0.4	0.219894
5	5	0.5	0.234482
5	5	0.6	0.241556
5	5	0.7	0.245587
5	7	0.3	0.193709
5	7	0.4	0.210535
5	7	0.5	0.224581
5	7	0.6	0.232520
5	7	0.7	0.240887
5	10	0.3	0.208316
5	10	0.4	0.225750
5	10	0.5	0.235818
5	10	0.6	0.244223
5	10	0.7	0.246381
5	15	0.3	0.216002
5	15	0.4	0.230370
5	15	0.5	0.241824
5	15	0.6	0.247486
5	15	0.7	0.250858
6	5	0.3	0.212900
6	5	0.4	0.226348
6	5	0.5	0.237119
6	5	0.6	0.243045
6	5	0.7	0.246644
6	7	0.3	0.199578
6	7	0.4	0.216280
6	7	0.5	0.230165
6	7	0.6	0.233731
6	7	0.7	0.240595
6	10	0.3	0.207393
6	10	0.4	0.221426
6	10	0.5	0.234872
6	10	0.6	0.241813
6	10	0.7	0.245253
6	15	0.3	0.215755
6	15	0.4	0.230569
6	15	0.5	0.246079
6	15	0.6	0.250362
6	15	0.7	0.252507
8	5	0.3	0.217905
8	5	0.4	0.232358
8	5	0.5	0.239764
8	5	0.6	0.245395
8	5	0.7	0.247196
8	7	0.3	0.212612
8	7	0.4	0.227061
8	7	0.5	0.235916
8	7	0.6	0.240624
8	7	0.7	0.245970
8	10	0.3	0.216062
8	10	0.4	0.229627
8	10	0.5	0.244599
8	10	0.6	0.245949
8	10	0.7	0.247814
8	15	0.3	0.211408
8	15	0.4	0.225757
8	15	0.5	0.243436
8	15	0.6	0.246298
8	15	0.7	0.247601
10	5	0.3	0.222951
10	5	0.4	0.237233
10	5	0.5	0.245566
10	5	0.6	0.248236
10	5	0.7	0.249908
10	7	0.3	0.215363
10	7	0.4	0.232043
10	7	0.5	0.239286
10	7	0.6	0.242907
10	7	0.7	0.244007
10	10	0.3	0.221144
10	10	0.4	0.235154
10	10	0.5	0.245248
10	10	0.6	0.247218
10	10	0.7	0.246312
10	15	0.3	0.224121
10	15	0.4	0.235704
10	15	0.5	0.246427
10	15	0.6	0.248533
10	15	0.7	0.249392
15	5	0.3	0.237618
15	5	0.4	0.248703
15	5	0.5	0.252462
15	5	0.6	0.252978
15	5	0.7	0.251395
15	7	0.3	0.227850
15	7	0.4	0.239055
15	7	0.5	0.243771
15	7	0.6	0.247130
15	7	0.7	0.248289
15	10	0.3	0.234204
15	10	0.4	0.247869
15	10	0.5	0.250576
15	10	0.6	0.250549
15	10	0.7	0.248177
15	15	0.3	0.236382
15	15	0.4	0.249990
15	15	0.5	0.251982
15	15	0.6	0.251632
15	15	0.7	0.250506
20	5	0.3	0.243376
20	5	0.4	0.251930
20	5	0.5	0.253756
20	5	0.6	0.253824
20	5	0.7	0.252424
20	7	0.3	0.233875
20	7	0.4	0.242600
20	7	0.5	0.242680
20	7	0.6	0.244289
20	7	0.7	0.246628
20	10	0.3	0.243204
20	10	0.4	0.252059
20	10	0.5	0.252695
20	10	0.6	0.252763
20	10	0.7	0.249943
20	15	0.3	0.241723
20	15	0.4	0.253187
20	15	0.5	0.252801
20	15	0.6	0.252356
20	15	0.7	0.250840
